  ;US_ID;Description;Acceptance Criterias;Priority;Point;Assign;Test Type;;;;;;;;;;;;;;;;;;
;;;"/api/deleteCourse/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir DELETE request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not course for this id."" oldugu, (id) icermeyen bir DELETE request gönderildiginde de dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/deleteCourse/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;/api/deleteCourse/{id} endpoint'inden donen response body icindeki Deleted Course ID bilgisinin /api/deleteCourse/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden silinmek istenen course kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dönen Deleted Course ID ile /api/course/{id} endpoint'ine GET request gönderilerek kaydýn silindiði doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Course Categories;US_006;Bir yönetici olarak API baðlantýsý üzerinden courses categories'e eriþebilmek istiyorum.;"/api/categories endpoint'ine gecerli authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Medium;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;id(x) olaninin response body'de donen bilgileri (slug, parent_id, icon, order, title, id, category_id, locale, title) doðrulanmalý.;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/categories endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_007;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course category'in detaylý bilgilerine erisebilmeliyim.;"/api/category/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Low;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;Response body icindeki list datalarýnýn (id, slug, parent_id, icon, order, title, id, category_id, locale, title) içerikleri doðrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/category/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir GET request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not category for this id."" (id) icermeyen bir GET request gönderildiginde de dönen status code'un 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/category/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_008;Bir yönetici olarak API baðlantýsý üzerinden yeni bir course category kaydý olusturabilmek istiyorum.;"/api/addCategory endpoint'ine gecerli authorization bilgileri ve dogru data (title) iceren bir POST body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Added."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/addCategory endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gönderildiginde dönen status code'in 422 oldugu ve response body'deki message bilgisinin ""The title field is required."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/addCategory endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru data (title) iceren bir POST body gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden olusturulmak istenen yeni course category kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dönen Added Category ID ile /api/category/{id} endpoint'ine GET request gönderilerek kayýt oluþturulduðu doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_009;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course category'in bilgilerini güncelleyebilmek istiyorum.;"/api/updateCategory/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru data (title) iceren bir PATCH body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Updated."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/updateCategory/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gönderildiginde dönen status code'in 203 olduðu, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is no information to update."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/updateCategory/{id} endpoint'ine gecerli authorization bilgileri ile kaydý olmayan bir (id) ve dogru data (title) iceren bir PATCH body gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not category for this id."" oldugu, (id) icermeyen ve dogru data (title) iceren bir PATCH body gönderildiginde de dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/updateCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru data (title) iceren bir PATCH body gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;/api/updateCategory/{id} endpoint'inden donen response body icindeki Updated Category Id bilgisinin /api/updateCategory/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden güncellenmek istenen course category kaydinin güncellendigi, API uzerinden dogrulanmali.
(Response body'de dönen Updated Category Id ile /api/category/{id} endpoint'ine GET request gönderilerek kaydýn güncellendiði doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_010;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course category bilgilerini silebilmek istiyorum.;"/api/deleteCategory/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gönderildiginde dönen status code'in 200, response body'deki status bilgisinin ""success"" ve Message bilgisinin de ""Successfully Deleted."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/deleteCategory/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir DELETE request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not category for this id."" oldugu, (id) icermeyen bir DELETE request gönderildiginde de dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/deleteCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
